StartDate,StartTime,Cage,In_g
10/6/2020,5:47:54 PM,2,0.003
10/6/2020,6:10:59 PM,2,0.005
10/6/2020,7:49:17 PM,2,0.004
10/6/2020,10:04:50 PM,2,0.006
10/7/2020,9:44:50 AM,2,0.003
10/7/2020,9:49:28 AM,2,0.146
10/7/2020,10:58:57 AM,2,0.011
10/7/2020,11:40:24 AM,2,0.389
10/7/2020,12:34:41 PM,2,0.287
10/7/2020,2:21:00 PM,2,0.383
10/7/2020,3:52:19 PM,2,0.825
10/7/2020,5:55:42 PM,2,0.035
10/7/2020,6:11:16 PM,2,0.177
10/7/2020,7:14:00 PM,2,0.261
10/7/2020,7:38:43 PM,2,0.266
10/7/2020,9:56:10 PM,2,0.302
10/7/2020,10:23:44 PM,2,0.209
10/8/2020,12:09:27 AM,2,0.904
10/8/2020,12:32:34 AM,2,0.011
10/8/2020,12:49:16 AM,2,0.002
10/8/2020,2:40:10 AM,2,0.099
10/8/2020,5:55:51 AM,2,0.058
10/8/2020,7:38:18 AM,2,0.002
10/8/2020,1:43:12 PM,2,0.099
10/8/2020,4:06:29 PM,2,0.002
10/8/2020,10:34:21 PM,2,0.001
10/9/2020,1:16:45 AM,2,0.001
10/9/2020,6:55:10 AM,2,0.004
10/9/2020,9:55:02 AM,2,0.259
10/9/2020,11:22:19 AM,2,0.677
10/9/2020,1:51:22 PM,2,0.501
10/9/2020,4:31:08 PM,2,0.907
10/9/2020,5:28:32 PM,2,0.264
10/9/2020,6:12:41 PM,2,0.02
10/9/2020,6:52:38 PM,2,0.313
10/9/2020,8:03:26 PM,2,0.004
10/9/2020,8:09:34 PM,2,0.057
10/9/2020,9:37:53 PM,2,0.226
10/9/2020,9:55:22 PM,2,0.017
10/9/2020,10:00:16 PM,2,0.443
10/9/2020,10:30:45 PM,2,0.255
10/10/2020,1:46:41 AM,2,0.282
10/10/2020,2:13:31 AM,2,0.151
10/10/2020,2:31:56 AM,2,0.224
10/10/2020,4:10:08 AM,2,0.067
10/10/2020,5:57:03 AM,2,0.547
10/10/2020,12:48:06 PM,2,0.001
10/10/2020,5:15:31 PM,2,0.001
10/10/2020,7:13:01 PM,2,0.002
10/10/2020,8:54:45 PM,2,0.003
10/10/2020,10:55:45 PM,2,0.002
10/11/2020,12:43:06 AM,2,0.008
10/11/2020,2:20:41 AM,2,0.004
10/11/2020,7:08:24 AM,2,0.586
10/11/2020,7:56:08 AM,2,0.748
10/11/2020,8:40:59 AM,2,0.109
10/11/2020,9:58:38 AM,2,0.565
10/11/2020,11:46:00 AM,2,0.19
10/11/2020,12:18:59 PM,2,0.233
10/11/2020,1:44:12 PM,2,0.648
10/11/2020,4:14:55 PM,2,0.636
10/11/2020,5:43:18 PM,2,0.961
10/11/2020,6:01:40 PM,2,0.023
10/11/2020,6:39:37 PM,2,0.017
10/11/2020,9:17:28 PM,2,0.29
10/11/2020,9:37:30 PM,2,0.008
10/11/2020,9:48:12 PM,2,0.264
10/11/2020,11:49:33 PM,2,0.348
10/12/2020,12:24:58 AM,2,0.008
10/12/2020,12:33:31 AM,2,0.001
10/12/2020,1:59:28 AM,2,0.595
10/12/2020,2:45:57 AM,2,0.002
10/12/2020,4:04:48 AM,2,0.178
10/12/2020,4:21:11 AM,2,0.171
10/12/2020,6:17:19 AM,2,0.165
10/1/2020,3:25:13 PM,3,0.133
10/1/2020,3:45:37 PM,3,0.064
10/1/2020,3:59:28 PM,3,0.07
10/1/2020,4:20:53 PM,3,0.205
10/1/2020,5:42:12 PM,3,0.134
10/1/2020,6:09:39 PM,3,0.021
10/1/2020,6:25:54 PM,3,0.003
10/1/2020,6:40:07 PM,3,0.183
10/1/2020,6:59:53 PM,3,0.014
10/1/2020,7:19:57 PM,3,0.065
10/1/2020,7:41:02 PM,3,0.103
10/1/2020,7:57:30 PM,3,0.038
10/1/2020,8:06:22 PM,3,0.076
10/1/2020,8:41:11 PM,3,0.407
10/1/2020,9:19:50 PM,3,0.264
10/1/2020,9:37:03 PM,3,0.015
10/1/2020,10:04:35 PM,3,0.329
10/1/2020,10:27:03 PM,3,0.007
10/2/2020,12:40:37 AM,3,0.25
10/2/2020,1:02:13 AM,3,0.017
10/2/2020,1:32:13 AM,3,0.224
10/2/2020,1:57:31 AM,3,0.262
10/2/2020,2:23:43 AM,3,0.204
10/2/2020,3:25:29 AM,3,0.224
10/2/2020,3:49:00 AM,3,0.222
10/2/2020,1:10:05 PM,3,0.003
10/2/2020,3:40:45 PM,3,0.008
10/2/2020,4:45:35 PM,3,0.012
10/2/2020,5:20:08 PM,3,0.002
10/2/2020,6:00:36 PM,3,0.004
10/2/2020,6:22:10 PM,3,0.007
10/2/2020,7:50:59 PM,3,0.018
10/2/2020,8:30:53 PM,3,0.004
10/2/2020,9:24:50 PM,3,0.002
10/2/2020,9:51:24 PM,3,0.008
10/2/2020,10:34:27 PM,3,0.028
10/2/2020,10:59:17 PM,3,0.021
10/2/2020,11:20:31 PM,3,0.002
10/2/2020,11:32:39 PM,3,0.007
10/2/2020,11:48:01 PM,3,0.036
10/2/2020,11:59:38 PM,3,0.028
10/3/2020,12:18:27 AM,3,0.026
10/3/2020,1:09:39 AM,3,0.016
10/3/2020,1:15:25 AM,3,0.006
10/3/2020,1:23:32 AM,3,0.01
10/3/2020,1:34:45 AM,3,0.007
10/3/2020,1:51:58 AM,3,0.006
10/3/2020,2:19:34 AM,3,0.015
10/3/2020,2:54:21 AM,3,0.023
10/3/2020,3:05:33 AM,3,0.053
10/3/2020,3:18:32 AM,3,0.009
10/3/2020,3:26:25 AM,3,0.015
10/3/2020,3:46:17 AM,3,0.035
10/3/2020,3:59:44 AM,3,0.016
10/3/2020,5:49:26 AM,3,0.008
10/3/2020,8:38:47 AM,3,0.62
10/3/2020,10:55:34 AM,3,0.504
10/3/2020,2:07:11 PM,3,0.739
10/3/2020,4:39:59 PM,3,0.659
10/3/2020,5:59:32 PM,3,0.019
10/3/2020,6:11:57 PM,3,0.164
10/3/2020,6:31:01 PM,3,0.574
10/3/2020,6:57:50 PM,3,0.003
10/3/2020,7:18:16 PM,3,0.124
10/3/2020,7:36:58 PM,3,0.009
10/3/2020,8:25:29 PM,3,0.004
10/3/2020,8:34:35 PM,3,0.007
10/3/2020,10:33:20 PM,3,0.185
10/3/2020,10:51:54 PM,3,0.17
10/4/2020,12:28:30 AM,3,0.048
10/4/2020,1:04:42 AM,3,0.299
10/4/2020,1:22:23 AM,3,0.005
10/4/2020,1:32:52 AM,3,0.006
10/4/2020,1:43:05 AM,3,0.205
10/4/2020,1:59:57 AM,3,0.011
10/4/2020,2:11:12 AM,3,0.014
10/4/2020,2:16:19 AM,3,0.156
10/4/2020,2:44:50 AM,3,0.332
10/4/2020,5:29:07 AM,3,0.095
10/4/2020,10:18:26 AM,3,0.006
10/4/2020,10:24:28 AM,3,0.012
10/4/2020,10:50:18 AM,3,0.005
10/4/2020,11:39:42 AM,3,0.023
10/4/2020,12:12:34 PM,3,0.008
10/4/2020,12:26:36 PM,3,0.004
10/4/2020,12:56:28 PM,3,0.01
10/4/2020,1:12:58 PM,3,0.022
10/4/2020,1:26:46 PM,3,0.017
10/4/2020,1:54:50 PM,3,0.009
10/4/2020,2:24:36 PM,3,0.022
10/4/2020,2:59:48 PM,3,0.029
10/4/2020,4:27:22 PM,3,0.014
10/4/2020,4:41:12 PM,3,0.058
10/4/2020,6:12:42 PM,3,0.012
10/4/2020,7:22:16 PM,3,0.034
10/4/2020,8:01:14 PM,3,0.012
10/4/2020,8:21:49 PM,3,0.012
10/4/2020,8:37:38 PM,3,0.011
10/4/2020,8:44:16 PM,3,0.007
10/4/2020,9:17:04 PM,3,0.014
10/4/2020,9:39:35 PM,3,0.008
10/4/2020,9:48:21 PM,3,0.009
10/5/2020,7:46:37 AM,3,0.516
10/5/2020,8:56:34 AM,3,0.475
10/5/2020,11:02:13 AM,3,0.436
10/5/2020,11:28:39 AM,3,0.325
10/5/2020,2:08:46 PM,3,0.007
10/5/2020,2:21:34 PM,3,0.451
10/5/2020,4:30:49 PM,3,0.67
10/5/2020,4:45:25 PM,3,0.004
10/5/2020,5:19:16 PM,3,0.121
10/5/2020,5:46:56 PM,3,0.039
10/5/2020,5:56:00 PM,3,0.325
10/5/2020,6:28:46 PM,3,0.134
10/5/2020,6:44:00 PM,3,0.278
10/5/2020,7:29:22 PM,3,0.125
10/5/2020,10:01:22 PM,3,0.309
10/5/2020,10:19:52 PM,3,0.277
10/5/2020,10:46:31 PM,3,0.002
10/6/2020,2:20:46 AM,3,0.27
10/6/2020,2:58:46 AM,3,0.308
10/6/2020,3:57:03 AM,3,0.008
10/6/2020,4:04:27 AM,3,0.235
10/6/2020,4:21:16 AM,3,0.002
10/6/2020,4:29:15 AM,3,0.3
10/6/2020,9:12:18 AM,3,0.009
10/6/2020,10:04:32 AM,3,0.011
10/6/2020,10:13:35 AM,3,0.007
10/6/2020,3:00:19 PM,3,0.017
10/6/2020,3:19:47 PM,3,0.014
10/6/2020,4:07:23 PM,3,0.003
10/6/2020,4:16:16 PM,3,0.017
10/6/2020,5:03:59 PM,3,0.005
10/6/2020,5:18:20 PM,3,0.016
10/6/2020,6:54:29 PM,3,0.008
10/6/2020,7:35:53 PM,3,0.016
10/6/2020,7:49:03 PM,3,0.002
10/6/2020,8:04:38 PM,3,0.015
10/6/2020,8:18:38 PM,3,0.019
10/6/2020,9:01:05 PM,3,0.019
10/6/2020,9:10:06 PM,3,0.012
10/6/2020,9:23:46 PM,3,0.011
