Date_Time_1,subjectsID,,actual_foodupa,kcal,kcal_mean,actual_allmeters,bodymass,rq,actual_pedmeters,vco2,vo2,locomotion,actual_waterupa
8/4/2021 18:00,7,Control,0.2303675,1.4504237,0.362605925,0.9071675,25.242485,0.876738175,0.3990775,1.0801413,1.2303465,179.5,0.01528936
8/4/2021 18:00,10,Control,0.2016867,1.5448984,0.3862246,1.082095,22.68715,0.955146725,0.8517475,1.22974075,1.28824725,93.5,0.1595786
8/4/2021 18:00,13,Control,0.1892632,1.6274697,0.406867425,0.8158475,26.15519,0.909406275,0.4592425,1.24756775,1.37054425,152,0.0507045
8/4/2021 18:00,3,Six_Meal,0,1.6337189,0.408429725,0.516645,27.32666,1.024731,0.340635,1.37335625,1.34184975,65.75,0
8/4/2021 18:00,5,Six_Meal,0.0123518,1.754607,0.43865175,1.19957,22.8027975,0.97528005,0.7607075,1.42151825,1.45614425,192.25,0.1531403
8/4/2021 18:00,9,Six_Meal,0.0045116,1.6741736,0.4185434,1.291465,26.34409,0.953817525,0.66149,1.32922525,1.3970055,253,0.0362239
8/4/2021 18:00,12,Six_Meal,0,1.4017056,0.3504264,0.6292,22.791085,0.878304925,0.46805,1.05215145,1.186693875,69.75,0.0065612
8/4/2021 18:00,16,Six_Meal,0,1.4295991,0.357399775,0.625965,25.86562,0.865448325,0.1404025,1.0553408,1.2152895,120.25,0
8/4/2021 18:00,2,Three_Meal,0.5126091,1.7906815,0.447670375,0.8367325,25.121755,1.07026575,0.328665,1.55522375,1.456761,165.5,0.5032349
8/4/2021 18:00,6,Three_Meal,0.310359,1.6996254,0.42490635,0.9951875,24.7390325,1.0349195,0.6114305,1.4411505,1.39250475,133,0.1464234
8/4/2021 18:00,8,Three_Meal,0.5218162,1.7224212,0.4306053,0.9668225,21.3092125,1.01546425,0.74613,1.4375375,1.4176195,143.75,0.2685552
8/4/2021 18:00,11,Three_Meal,0.0757441,1.2701884,0.3175471,0.424735,20.6210625,1.0336645,0.322,1.075323175,1.04114295,52.25,0
8/4/2021 18:00,14,Three_Meal,0.9091743,1.5701516,0.3925379,1.11562,22.687355,1.04586825,0.856485,1.341522,1.28357675,120.25,0.339829
8/4/2021 18:00,15,Three_Meal,0.443409,1.7400415,0.435010375,1.2586625,26.12805,1.07909325,0.78461,1.5223835,1.41243725,125.25,0.4280602
8/4/2021 19:00,1,Control,0.834543,1.3365284,0.3341321,7.945665,23.1752525,0.9001089,7.354895,1.013338125,1.128677,626,0.3285723
8/4/2021 19:00,4,Control,0.1421488,1.8700863,0.467521575,1.9361125,24.99431,0.9457786,1.171735,1.47779375,1.5624425,319.5,0.0427624
8/4/2021 19:00,7,Control,0.2341731,1.7253741,0.431343525,1.09695,25.182035,0.92444415,0.5205425,1.337449,1.44883,229.25,0.0437264
8/4/2021 19:00,10,Control,0.3027382,1.8014356,0.4503589,2.1637,22.710025,0.960647125,1.76921,1.4399465,1.5004825,249.25,0.2099817
8/4/2021 19:00,13,Control,0.3366317,2.1499395,0.537484875,2.39594,26.2578675,0.956883475,1.6625075,1.71471325,1.79183175,308,0.4727654
8/4/2021 19:00,3,Six_Meal,0.0166555,2.0517388,0.5129347,1.619555,27.32676,0.960630025,1.0495325,1.63628275,1.71001825,285.5,0.0021136
8/4/2021 19:00,5,Six_Meal,0.0031238,1.6607018,0.41517545,1.93124,22.6440175,0.96148845,1.26875,1.33115425,1.38222125,233.75,0.103919
8/4/2021 19:00,9,Six_Meal,0.0184155,1.7234093,0.430852325,3.002855,26.34409,0.827031,2.282655,1.221924,1.479174,357.75,0.0129597
8/4/2021 19:00,12,Six_Meal,0.0197449,1.4749352,0.3687338,0.8260975,22.60752,0.7927579,0.5814475,1.01577375,1.274326,123.5,0.0159921
8/4/2021 19:00,16,Six_Meal,0.0572552,1.6044796,0.4011199,1.4672925,25.789015,0.78163085,0.853625,1.092767225,1.38968075,260.75,0.024911
8/4/2021 19:00,2,Three_Meal,0.346863,1.7296809,0.432420225,1.378255,25.31141,1.08479475,0.8498375,1.519687,1.40224075,251.25,0.419742
8/4/2021 19:00,6,Three_Meal,0.071264,1.9234992,0.4808748,1.8801975,24.029445,1.031088,1.2888525,1.6246445,1.577702,250.5,0.2266862
8/4/2021 19:00,8,Three_Meal,0.482147,1.7785991,0.444649775,2.3641,21.810645,1.017139,2.04982,1.487022,1.463127,158,0.3882611
8/4/2021 19:00,11,Three_Meal,0,1.4448657,0.361216425,0.9094575,20.5610825,1.0268085,0.6923175,1.210130275,1.187990275,95.75,0.1078186
8/4/2021 19:00,14,Three_Meal,0,1.7610129,0.440253225,1.817665,23.0625225,1.051441,1.45324,1.49134625,1.44332025,190.5,0.3053698
8/4/2021 19:00,15,Three_Meal,0.190898,1.7821069,0.445526725,0.5362075,26.12805,1.07515725,0.25831,1.5534685,1.44818775,129.75,0.062894
8/4/2021 20:00,1,Control,0.373871,1.387048,0.346762,6.299375,23.5683875,0.9608411,5.226025,1.10981775,1.1550135,623.75,0.364594
